smiles,mol_wt
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1cc(C)cc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.4320000000001
Cc1cc(C)cc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.4320000000001
Cc1cc(C)cc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.4320000000001
Cc1cc(C)cc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.4320000000001
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(C)c(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.43200000000013
Cc1ccc(C)c(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.43200000000013
Cc1ccc(C)c(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.43200000000013
Cc1ccc(C)c(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
Cc1ccc(CNC(=O)N2CCN(C(=O)OC(C)C)CC2)c(C)c1,333.43200000000013
